time,id,type,x,y
13,0,Pedestrian,13.152,32.694
13.5,0,Pedestrian,13.095,33.4
14,0,Pedestrian,12.75,33.498
14.5,0,Pedestrian,12.666,33.86
15,0,Pedestrian,12.512,33.777
15.5,0,Pedestrian,12.258,34.26
16,0,Pedestrian,12.203,34.535
16.5,0,Pedestrian,12.19,34.918
17,0,Pedestrian,12.226,35.265
17.5,0,Pedestrian,12.262,35.59
18,0,Pedestrian,12.376,36.139
18.5,0,Pedestrian,12.399,36.19
19,0,Pedestrian,12.441,37.009
19.5,0,Pedestrian,12.45,37.534
20,0,Pedestrian,12.433,38.272
20.5,0,Pedestrian,12.398,38.94
21,0,Pedestrian,12.411,39.564
21.5,0,Pedestrian,12.39,40.053
22,0,Pedestrian,12.405,40.447
22.5,0,Pedestrian,12.457,41.07
23,0,Pedestrian,12.501,41.666
23.5,0,Pedestrian,12.528,42.15
24,0,Pedestrian,12.588,42.823
24.5,0,Pedestrian,12.614,43.49
25,0,Pedestrian,12.714,43.948
10.5,1,Motorist,36.347,34.159
11,1,Motorist,34.402,34.1068
11.5,1,Motorist,32.77,34.363
12,1,Motorist,31.477,34.51
12.5,1,Motorist,30.614,34.831
13,1,Motorist,29.57,35.0099
13.5,1,Motorist,28.956,35.034
14,1,Motorist,27.857,35.438
14.5,1,Motorist,27.294,35.603
15,1,Motorist,26.514,35.9191
15.5,1,Motorist,25.94,36.029
16,1,Motorist,25.473,36.0496
16.5,1,Motorist,25.084,36.103
17,1,Motorist,24.283,36.54
17.5,1,Motorist,23.427,36.876
18,1,Motorist,22.315,37.4053
18.5,1,Motorist,21.301,37.684
19,1,Motorist,20.168,37.904
19.5,1,Motorist,19.244,37.939
20,1,Motorist,18.349,38.2911
20.5,1,Motorist,17.586,38.568
21,1,Motorist,16.945,38.7383
21.5,1,Motorist,16.457,38.797
22,1,Motorist,16.018,38.9171
22.5,1,Motorist,15.708,38.993
23,1,Motorist,15.269,39.035
23.5,1,Motorist,14.862,39.082
24,1,Motorist,14.222,39.032
24.5,1,Motorist,13.604,39.057
25,1,Motorist,12.462,38.918
25.5,1,Motorist,11.299,38.726
26,1,Motorist,9.3748,38.344
13,2,Motorist,20.366,44.338
13.5,2,Motorist,20.145,43.56
14,2,Motorist,19.519,42.4
14.5,2,Motorist,18.751,41.624
15,2,Motorist,17.685,41.001
15.5,2,Motorist,16.87,40.639
16,2,Motorist,15.542,40.306
16.5,2,Motorist,14.336,39.977
17,2,Motorist,13.062,39.59
17.5,2,Motorist,11.492,39.14
18,2,Motorist,9.7868,38.541
5.5,3,Pedestrian,19.493,40.174
6,3,Pedestrian,20.259,39.7714
6.5,3,Pedestrian,20.837,39.482
7,3,Pedestrian,21.624,39.05
7.5,3,Pedestrian,22.219,38.628
8,3,Pedestrian,22.822,38.125
8.5,3,Pedestrian,23.167,37.657
9,3,Pedestrian,23.648,37.102
9.5,3,Pedestrian,24.082,36.527
10,3,Pedestrian,24.807,35.7358
10.5,3,Pedestrian,25.13,35.367
11,3,Pedestrian,25.607,34.831
11.5,3,Pedestrian,26.023,34.312
12,3,Pedestrian,26.393,33.921
12.5,3,Pedestrian,26.876,33.29
13,3,Pedestrian,27.199,33.02
13.5,3,Pedestrian,27.764,32.626
14,3,Pedestrian,28.237,32.329
14.5,3,Pedestrian,28.911,32.005
15,3,Pedestrian,29.531,31.616
15.5,3,Pedestrian,30.03,31.598
16,3,Pedestrian,30.669,31
16.5,3,Pedestrian,31.612,30.361
17,3,Pedestrian,32.431,29.9
17.5,3,Pedestrian,32.795,29.397
18,3,Pedestrian,33.349,29.227
